MID,CHURN,CALL_CENTRE_CALLS,MFTR,EXTERNAL_CONGESTION_ERRORS,NORMAL_CALLS,SUBSCRIBER_ERRORS,QOS_CONGESTION,QOS_SUBSCRIBER,QOS_GROUP,USAGE_DIRECTION,EVENT_TYPE_DATA_USAGE_DIRECTION,EVENT_TYPE_INCOMING_USAGE_DIRECT,EVENT_TYPE_OUTGOING_USAGE_DIRECT,EVENT_TYPE_SMS_USAGE_DIRECTION,OUTGOING_OVERALL,INCOMING_OVERALL,SMS_OVERALL,DATA_OVERALL,USAGE_LIFESTYLE,LIFESTYLE
161,"0",,"LG",0,24,0,0.000000,0.000000,"Good",0.834568,,1.444444,0.577778,0.481481,-0.817317,-0.810271,-0.726831,-1.000000,"Low Overall","Homebody"
163,"0",,"Apple",0,139,0,0.000000,0.000000,"Good",1.589496,,1.969697,1.964444,0.834345,-0.569412,-0.629661,-0.169252,-1.000000,"No Data Usage","Homebody"
166,"0",8,"Samsung",0,160,0,0.000000,0.000000,"Good",2.004030,,2.321429,2.486957,1.203704,-0.323213,-0.627781,-0.706425,-1.000000,"No Data Usage","Undef"
171,"0",10,"Apple",0,319,0,0.000000,0.000000,"Good",1.266138,,1.170000,1.515483,1.112933,-0.084663,-0.254629,-0.657591,-1.000000,"Voice Caller","Daily Grinder"
173,"0",,"Apple",2,168,1,0.011905,0.005952,"Poor",0.990293,0.000000,2.637681,1.083333,1.230453,-0.413021,-0.428378,-0.642416,-0.753306,"Other Usage","Daily Grinder"
175,"0",,"Motorola",0,70,0,0.000000,0.000000,"Good",2.258444,6.331073,0.000000,0.794444,1.908257,-0.634240,-0.791328,-0.606437,-0.181610,"Other Usage","Daily Grinder"
180,"0",,"HTC",1,269,0,0.003717,0.000000,"Good",1.170363,,1.516667,0.967262,1.027160,-0.452267,-0.034715,-0.441605,-1.000000,"No Data Usage","Daily Grinder"
183,"0",2,"Apple",0,66,0,0.000000,0.000000,"Good",1.458362,,0.825397,1.313131,2.236559,-0.717355,-0.707049,-0.709924,-1.000000,"Low Overall","Undef"
185,"1",,"Apple",1,16,0,0.062500,0.000000,"Poor",0.000000,,0.000000,0.000000,0.000000,-0.821104,-0.805856,-0.655573,-1.000000,"No Data Usage","Homebody"
186,"0",4,"Apple",2,265,0,0.007547,0.000000,"Fair",0.779793,,0.687831,0.795107,0.856441,0.146420,-0.351999,-0.568903,-1.000000,"Voice Caller","Daily Grinder"
187,"0",,"HTC",0,61,0,0.000000,0.000000,"Good",1.273995,,2.166667,0.590909,1.064409,-0.797600,-0.629981,0.909532,-1.000000,"High SMS","Homebody"
