LOCATION,EVENT_SUCCESS_Mean,EVENT_DURATION_Mean,Record_Count,Region,District,LONGITUDE,LATITUDE
"Cell_S1637",1.000000,54.230769,13,"Central","Habourfront Telok Blangah",103.818626,1.262063
"Cell_S1638",1.000000,5.500000,2,"Central","Habourfront Telok Blangah",103.826295,1.248134
"Cell_S1639",1.000000,300.000000,4,"Central","Habourfront Telok Blangah",103.826295,1.248134
"Cell_S164",1.000000,58.562500,16,"Central","Chinatown",103.843312,1.283641
"Cell_S1640",1.000000,35.666667,3,"Central","Habourfront Telok Blangah",103.822396,1.264379
"Cell_S1641",1.000000,73.200000,5,"Central","Depot Road",103.812434,1.274261
"Cell_S1642",1.000000,217.000000,2,"Central","Depot Road",103.808953,1.267321
"Cell_S1643",1.000000,95.000000,1,"Central","Habourfront Telok Blangah",103.846319,1.250048
"Cell_S1644",1.000000,30.250000,4,"Central","Habourfront Telok Blangah",103.823385,1.266181
"Cell_S1645",1.000000,49.000000,1,"Central","Habourfront Telok Blangah",103.817900,1.279455
"Cell_S1646",1.000000,128.666667,3,"Central","Habourfront Telok Blangah",103.822396,1.264379
"Cell_S1647",0.947368,66.263158,19,"Central","Depot Road",103.809948,1.276853
"Cell_S1648",1.000000,58.000000,3,"Central","Habourfront Telok Blangah",103.820470,1.277398
"Cell_S1649",1.000000,46.000000,3,"Central","Habourfront Telok Blangah",103.830821,1.257347
"Cell_S165",0.941176,91.529412,17,"Central","Marina Esplanade Suntec",103.858775,1.293525
"Cell_S1650",1.000000,12.500000,2,"Central","Habourfront Telok Blangah",103.818261,1.264862
"Cell_S1651",1.000000,153.916667,12,"Central","Habourfront Telok Blangah",103.846319,1.250048
"Cell_S1652",1.000000,52.250000,4,"Central","Habourfront Telok Blangah",103.818687,1.264486
"Cell_S1653",1.000000,57.000000,1,"Central","Habourfront Telok Blangah",103.814049,1.255080
"Cell_S1654",1.000000,6.000000,3,"Central","Habourfront Telok Blangah",103.846319,1.250048
"Cell_S1655",1.000000,53.000000,2,"Central","Habourfront Telok Blangah",103.823385,1.266181
"Cell_S1656",0.941176,204.529412,34,"Central","Habourfront Telok Blangah",103.818687,1.264486
"Cell_S1657",1.000000,11.000000,1,"Central","Habourfront Telok Blangah",103.818626,1.262063
"Cell_S1658",1.000000,123.500000,2,"Central","Habourfront Telok Blangah",103.817900,1.279455
"Cell_S1659",1.000000,13.000000,2,"Central","Habourfront Telok Blangah",103.822396,1.264379
"Cell_S166",1.000000,18.750000,4,"Central","Chinatown",103.842318,1.288413
"Cell_S1660",0.975610,106.829268,82,"Central","Habourfront Telok Blangah",103.818626,1.262063
"Cell_S1661",1.000000,234.000000,1,"Central","Habourfront Telok Blangah",103.820470,1.277398
"Cell_S1662",0.500000,102.500000,2,"Central","Habourfront Telok Blangah",103.832924,1.272025
"Cell_S1663",1.000000,41.500000,2,"Central","Habourfront Telok Blangah",103.828839,1.243611
"Cell_S1664",1.000000,133.000000,1,"Central","Habourfront Telok Blangah",103.826295,1.248134
"Cell_S1665",1.000000,112.000000,2,"Central","Habourfront Telok Blangah",103.826295,1.248134
"Cell_S1666",1.000000,32.000000,1,"Central","Habourfront Telok Blangah",103.830821,1.257347
"Cell_S1667",1.000000,42.500000,2,"Central","Habourfront Telok Blangah",103.814049,1.255080
"Cell_S1668",1.000000,42.000000,1,"Central","Depot Road",103.808953,1.267321
"Cell_S1669",1.000000,129.833333,6,"Central","Habourfront Telok Blangah",103.822396,1.264379
"Cell_S167",0.800000,28.000000,5,"Central","Raffles Place",103.850709,1.284729
"Cell_S1670",0.973684,113.526316,38,"Central","Habourfront Telok Blangah",103.814049,1.255080
"Cell_S1671",1.000000,12.000000,3,"Central","Depot Road",103.808817,1.273954
"Cell_S1672",1.000000,24.000000,1,"Central","Depot Road",103.809948,1.276853
"Cell_S1673",0.500000,59.000000,2,"Central","Habourfront Telok Blangah",103.823801,1.266176
"Cell_S1674",1.000000,106.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.789273,1.290684
"Cell_S1675",1.000000,30.500000,2,"West","Dover Buona Vista Singapore Polytechnic",103.783527,1.306687
"Cell_S1676",1.000000,21.000000,2,"West","Pasir Panjang Alexandra Kent Ridge",103.772969,1.299326
"Cell_S1677",1.000000,118.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.770069,1.293256
"Cell_S1678",1.000000,95.333333,3,"West","Pasir Panjang Alexandra Kent Ridge",103.791507,1.289340
"Cell_S1679",0.923077,80.923077,13,"West","Dover Buona Vista Singapore Polytechnic",103.774130,1.304074
"Cell_S168",0.857143,123.000000,7,"Central","Marina South",103.854971,1.279645
"Cell_S1680",0.965517,156.103448,29,"West","Clementi",103.762236,1.321499
"Cell_S1681",1.000000,256.000000,2,"West","Clementi",103.761002,1.326275
"Cell_S1682",1.000000,331.000000,4,"West","Clementi",103.761002,1.326275
"Cell_S1683",1.000000,109.000000,6,"West","Clementi",103.751991,1.310324
"Cell_S1684",1.000000,158.750000,4,"West","Pasir Panjang Alexandra Kent Ridge",103.801922,1.277305
"Cell_S1685",1.000000,139.666667,9,"West","Clementi",103.765432,1.296842
"Cell_S1686",1.000000,117.000000,2,"West","Pasir Panjang Alexandra Kent Ridge",103.776715,1.294039
"Cell_S1687",1.000000,20.000000,1,"West","Dover Buona Vista Singapore Polytechnic",103.781566,1.308118
"Cell_S1688",1.000000,136.500000,2,"West","Clementi",103.760250,1.308657
"Cell_S1689",1.000000,77.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.801318,1.275224
"Cell_S169",0.948718,231.461538,39,"Central","Raffles Place",103.851954,1.284193
"Cell_S1690",1.000000,43.000000,3,"West","Clementi",103.767290,1.309343
"Cell_S1691",1.000000,220.800000,5,"West","Clementi",103.761112,1.304835
"Cell_S1692",1.000000,60.666667,3,"West","Pasir Panjang Alexandra Kent Ridge",103.799423,1.277399
"Cell_S1693",1.000000,6.500000,2,"West","Dover Buona Vista Singapore Polytechnic",103.782648,1.304051
